City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Sao Filipe,CV,14.8961,-24.4956,79.72,59,63,6.71,broken clouds
81,Souillac,MU,-20.5167,57.5167,77.38,73,75,12.66,broken clouds
82,Saint-Joseph,RE,-21.3667,55.6167,73.78,81,81,14.25,light rain
83,Newport,GB,51.5877,-2.9984,66.92,82,92,14.76,overcast clouds
84,Yantal,RU,56.8471,105.2542,58.95,37,100,1.54,overcast clouds
85,Provideniya,RU,64.3833,-173.3,30.22,78,11,2.86,few clouds
86,Honningsvag,NO,70.9821,25.9704,37.15,75,75,16.11,broken clouds
87,Vaini,TO,-21.2,-175.2,69.96,78,20,5.75,few clouds
88,Thompson,CA,55.7435,-97.8558,33.96,69,75,6.91,broken clouds
89,Am Timan,TD,11.0297,20.2827,99.36,24,61,4.74,broken clouds
90,Waipawa,NZ,-41.4122,175.5153,54.77,90,32,7.63,scattered clouds
91,Chesma,RU,53.8111,60.6533,58.14,57,63,14.92,broken clouds
92,Lebu,CL,-37.6167,-73.65,55.78,51,13,2.91,few clouds
93,Rocha,UY,-34.4833,-54.3333,53.6,82,97,18.01,overcast clouds
94,Pozo Colorado,PY,-23.4923,-58.7972,62.6,44,2,10.18,clear sky
95,Formosa,AR,-26.1775,-58.1781,55.38,67,0,13.8,clear sky
96,Qaanaaq,GL,77.484,-69.3632,22.05,76,26,6.46,scattered clouds
97,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,100,13.24,light rain
98,Hilo,US,19.7297,-155.09,76.28,91,100,3.44,moderate rain
99,Ossora,RU,59.2353,163.0719,33.66,99,100,3.6,overcast clouds
100,Pisco,PE,-13.7,-76.2167,63.01,82,19,1.14,mist
101,College,US,64.8569,-147.8028,35.58,93,75,3.44,broken clouds
102,Ambilobe,MG,-13.2,49.05,77.74,75,2,1.57,clear sky
103,Nandyal,IN,15.4833,78.4833,92.3,46,90,5.26,overcast clouds
104,Batemans Bay,AU,-35.7167,150.1833,61.11,66,8,9.35,clear sky
105,Pidhorodne,UA,48.5753,35.1068,61.25,50,91,11.07,overcast clouds
106,Punta Arenas,CL,-53.15,-70.9167,37.42,93,0,4.61,clear sky
107,Kodiak,US,57.79,-152.4072,33.31,80,0,6.91,clear sky
108,Gbarnga,LR,6.9956,-9.4722,89.83,54,97,3.09,overcast clouds
109,Salaga,GH,8.5508,-0.5188,91.2,47,96,8.57,overcast clouds
110,Saint-Augustin,CA,51.226,-58.6502,39.94,60,100,10.31,overcast clouds
111,New Norfolk,AU,-42.7826,147.0587,44.1,82,43,5.99,scattered clouds
112,Kaitangata,NZ,-46.2817,169.8464,49.01,86,21,5.99,few clouds
113,Yumen,CN,40.2833,97.2,63.45,7,89,12.91,overcast clouds
114,Atocha,BO,-20.9333,-66.2333,43.05,34,0,16.24,clear sky
115,Bairiki,KI,1.3292,172.9752,80.6,78,20,5.75,few clouds
116,Zhezkazgan,KZ,47.8043,67.7144,82.38,18,40,20.13,scattered clouds
117,Chegdomyn,RU,51.1167,133.0167,35.65,72,100,4.05,overcast clouds
118,Yashan,CN,22.1975,109.9419,64.69,87,100,4.0,overcast clouds
119,Develi,TR,38.3906,35.4922,65.55,53,83,8.57,broken clouds
120,Zhigansk,RU,66.7697,123.3711,23.85,90,100,5.7,overcast clouds
121,Baherden,TM,38.4362,57.4316,91.9,17,0,9.89,clear sky
122,Ponta Do Sol,PT,32.6667,-17.1,80.71,65,0,7.52,clear sky
123,Bilibino,RU,68.0546,166.4372,30.76,96,100,1.07,overcast clouds
124,Moron,AR,-34.6534,-58.6198,55.29,73,75,21.85,broken clouds
125,Batagay-Alyta,RU,67.8006,130.4114,8.67,95,72,4.36,broken clouds
126,Ardesen,TR,41.1911,40.9875,63.14,67,56,2.82,broken clouds
127,Burnie,AU,-41.0667,145.9167,45.91,84,8,14.45,clear sky
128,Zhangjiakou,CN,40.81,114.8794,66.18,18,100,3.67,overcast clouds
129,Balao,EC,-2.9167,-79.8167,73.49,89,100,3.85,overcast clouds
130,Nanortalik,GL,60.1432,-45.2371,36.5,77,100,7.74,overcast clouds
131,Kruisfontein,ZA,-34.0033,24.7314,84.88,18,0,8.1,clear sky
132,Esperance,AU,-33.8667,121.9,56.53,78,0,14.52,clear sky
133,Vila Velha,BR,-20.3297,-40.2925,80.55,65,0,9.22,clear sky
134,Belmonte,BR,-15.8631,-38.8828,80.01,75,73,2.13,broken clouds
135,Coihaique,CL,-45.5752,-72.0662,22.95,93,40,0.0,fog
136,Mar Del Plata,AR,-38.0023,-57.5575,53.94,79,75,20.71,broken clouds
137,Standerton,ZA,-26.9337,29.2415,61.61,38,13,6.29,few clouds
138,Mount Gambier,AU,-37.8333,140.7667,51.8,65,100,10.6,overcast clouds
139,Torbay,CA,47.6666,-52.7314,46.89,72,75,11.5,broken clouds
140,Port Elizabeth,ZA,-33.918,25.5701,87.1,57,0,6.91,clear sky
141,Qaqortoq,GL,60.7167,-46.0333,40.03,58,100,7.02,overcast clouds
142,Pevek,RU,69.7008,170.3133,19.31,84,100,4.07,overcast clouds
143,San Patricio,US,28.017,-97.5169,80.87,71,7,13.4,clear sky
144,Chuy,UY,-33.6971,-53.4616,55.87,69,51,18.48,broken clouds
145,Lazurne,UA,46.084,32.5295,64.56,58,8,12.19,clear sky
146,Codrington,AU,-38.2667,141.9667,51.51,70,100,12.46,overcast clouds
147,Chita,RU,52.0333,113.55,49.89,34,35,6.71,scattered clouds
148,Castro,BR,-24.7911,-50.0119,53.8,83,100,6.29,overcast clouds
149,Bullerup,DK,55.4269,10.4714,57.87,67,100,8.93,overcast clouds
150,Roald,NO,62.5833,6.1333,58.15,57,0,19.57,clear sky
151,Anamur,TR,36.0751,32.8369,74.3,60,4,7.47,clear sky
152,Eskisehir,TR,39.7767,30.5206,69.71,52,40,4.61,thunderstorm
153,Kodinsk,RU,58.6881,99.1844,54.79,93,99,4.38,overcast clouds
154,La Palma,US,33.8464,-118.0467,62.11,84,100,6.91,overcast clouds
155,Georgetown,MY,5.4112,100.3354,80.53,93,40,3.44,light rain
156,Madimba,TZ,-10.4,40.3333,81.12,65,54,13.71,broken clouds
157,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,20.71,few clouds
158,Poya,NC,-21.35,165.15,71.31,85,14,6.33,few clouds
159,Hami,CN,42.8,93.45,78.39,6,100,8.63,overcast clouds
160,Srednebelaya,RU,50.6594,128.0106,55.78,43,100,12.17,overcast clouds
161,Maragogi,BR,-9.0122,-35.2225,82.87,77,82,8.7,broken clouds
162,Sijunjung,ID,-0.6876,100.9537,74.97,95,100,1.83,overcast clouds
163,New Glasgow,CA,45.5834,-62.6486,53.38,91,100,9.98,overcast clouds
164,Butaritari,KI,3.0707,172.7902,80.96,78,100,12.8,light rain
